trade_date,pnl,mktv,cash,trade_value,booksize
20190708,121630.00000000004,1122516.0,0.25000000016007107,0.0,1122516.2500000002
20190709,119633.00000000006,1120519.0,0.25000000016007107,0.0,1120519.2500000002
20190710,110753.00000000007,1111639.0,0.25000000016007107,0.0,1111639.2500000002
20190711,112059.00000000006,1112945.0,0.25000000016007107,0.0,1112945.2500000002
20190712,118270.00000000001,1119156.0,0.25000000016007107,0.0,1119156.2500000002
20190715,133744.00000000006,1134630.0,0.25000000016007107,0.0,1134630.2500000002
20190716,140200.00000000006,1141086.0,0.25000000016007107,0.0,1141086.2500000002
20190717,146407.0000000001,1147293.0,0.25000000016007107,0.0,1147293.2500000002
20190718,139259.00000000003,1140145.0,0.25000000016007107,0.0,1140145.2500000002
20190719,146276.00000000003,1147162.0,0.25000000016007107,0.0,1147162.2500000002
20190722,135867.0000000001,1136753.0,0.25000000016007107,0.0,1136753.2500000002
20190723,141317.0000000001,1142203.0,0.25000000016007107,0.0,1142203.2500000002
20190724,142629.00000000006,1143515.0,0.25000000016007107,0.0,1143515.2500000002
20190725,143749.00000000006,1144635.0,0.25000000016007107,0.0,1144635.2500000002
20190726,151635.00000000006,1152521.0,0.25000000016007107,0.0,1152521.2500000002
20190729,144875.0,1145761.0,0.25000000016007107,0.0,1145761.2500000002
20190730,155751.00000000003,1156637.0,0.25000000016007107,0.0,1156637.2500000002
20190731,128119.00000000003,1128669.0,336.4180000001661,-336.0000000000018,1129005.418
20190801,124789.00000000004,1125339.0,336.4180000001661,0.0,1125675.418
20190802,109593.00000000003,1110143.0,336.4180000001661,0.0,1110479.418
20190805,82750.00000000004,1083300.0,336.4180000001661,0.0,1083636.418
20190806,61307.00000000006,1061857.0,336.4180000001661,0.0,1062193.418
20190807,56371.000000000044,1056921.0,336.4180000001661,0.0,1057257.418
20190808,64429.000000000044,1064979.0,336.4180000001661,0.0,1065315.418
20190809,54453.000000000044,1055003.0,336.4180000001661,0.0,1055339.418
20190812,65787.00000000007,1066337.0,336.4180000001661,0.0,1066673.418
20190813,52491.000000000065,1053041.0,336.4180000001661,0.0,1053377.418
20190814,50941.00000000005,1051491.0,336.4180000001661,0.0,1051827.418
20190815,51413.00000000004,1051963.0,336.4180000001661,0.0,1052299.418
20190816,54115.00000000004,1054665.0,336.4180000001661,0.0,1055001.418
20190819,79463.00000000003,1080013.0,336.4180000001661,0.0,1080349.418
20190820,81228.00000000004,1081778.0,336.4180000001661,0.0,1082114.418
20190821,74156.00000000004,1074706.0,336.4180000001661,0.0,1075042.418
20190822,78796.00000000006,1079346.0,336.4180000001661,0.0,1079682.418
20190823,84883.00000000003,1085433.0,336.4180000001661,0.0,1085769.418
20190826,72620.00000000004,1073170.0,336.4180000001661,0.0,1073506.418
20190827,85622.00000000003,1086172.0,336.4180000001661,0.0,1086508.418
20190828,85922.00000000003,1086472.0,336.4180000001661,0.0,1086808.418
20190829,85445.00000000003,1085995.0,336.4180000001661,0.0,1086331.418
20190830,74806.00000000003,1075356.0,336.4180000001661,0.0,1075692.418
20190902,93702.00000000003,1094556.0,32.26600000016833,304.0,1094588.266
20190903,102879.00000000006,1103733.0,32.26600000016833,0.0,1103765.266
20190904,116607.00000000006,1117461.0,32.26600000016833,0.0,1117493.266
20190905,116550.00000000003,1117404.0,32.26600000016833,0.0,1117436.266
20190906,122688.00000000004,1123542.0,32.26600000016833,0.0,1123574.266
20190909,131750.0,1132604.0,32.26600000016833,0.0,1132636.266
20190910,133382.00000000006,1134236.0,32.26600000016833,0.0,1134268.266
20190911,130026.00000000003,1130880.0,32.26600000016833,0.0,1130912.266
20190912,135590.00000000006,1136444.0,32.26600000016833,0.0,1136476.266
20190916,126140.00000000007,1126994.0,32.26600000016833,0.0,1127026.266
20190917,106748.00000000009,1107602.0,32.26600000016833,0.0,1107634.266
20190918,105502.00000000007,1106356.0,32.26600000016833,0.0,1106388.266
20190919,108074.00000000006,1108928.0,32.26600000016833,0.0,1108960.266
20190920,109607.00000000007,1110461.0,32.26600000016833,0.0,1110493.266
20190923,93214.00000000004,1094068.0,32.26600000016833,0.0,1094100.266
20190924,97627.00000000006,1098481.0,32.26600000016833,0.0,1098513.266
20190925,89517.00000000006,1090371.0,32.26600000016833,0.0,1090403.266
20190926,88687.00000000006,1089541.0,32.26600000016833,0.0,1089573.266
20190927,83677.00000000007,1084531.0,32.26600000016833,0.0,1084563.266
20190930,77187.00000000006,1077577.0,496.49800000016694,-464.0,1078073.4980000001
20191008,80699.00000000004,1081089.0,496.49800000016694,0.0,1081585.4980000001
20191009,81236.00000000007,1081626.0,496.49800000016694,0.0,1082122.4980000001
20191010,93721.00000000006,1094111.0,496.49800000016694,0.0,1094607.4980000001
20191011,104919.0,1105309.0,496.49800000016694,0.0,1105805.4980000001
20191014,131581.00000000003,1131971.0,496.49800000016694,0.0,1132467.4980000001
20191015,139015.00000000003,1139405.0,496.49800000016694,0.0,1139901.4980000001
20191016,125229.00000000003,1125619.0,496.49800000016694,0.0,1126115.4980000001
20191017,129638.00000000004,1130028.0,496.49800000016694,0.0,1130524.4980000001
20191018,112408.00000000009,1112798.0,496.49800000016694,0.0,1113294.4980000001
20191021,114621.00000000007,1115011.0,496.49800000016694,0.0,1115507.4980000001
20191022,116511.00000000004,1116901.0,496.49800000016694,0.0,1117397.4980000001
20191023,107964.00000000006,1108354.0,496.49800000016694,0.0,1108850.4980000001
20191024,99904.00000000006,1100294.0,496.49800000016694,0.0,1100790.4980000001
20191025,121831.00000000003,1122221.0,496.49800000016694,0.0,1122717.4980000001
20191028,131770.0,1132160.0,496.49800000016694,0.0,1132656.4980000001
20191029,135940.0,1136330.0,496.49800000016694,0.0,1136826.4980000001
20191030,136957.00000000003,1137347.0,496.49800000016694,0.0,1137843.4980000001
20191031,128843.00000000004,1126415.0,3315.907000000163,-2818.0,1129730.9070000001
20191101,148942.00000000006,1146514.0,3315.907000000163,0.0,1149829.9070000001
20191104,157349.00000000006,1154921.0,3315.907000000163,0.0,1158236.9070000001
20191105,167602.0,1165174.0,3315.907000000163,0.0,1168489.9070000001
20191106,151142.00000000003,1148714.0,3315.907000000163,0.0,1152029.9070000001
20191107,155025.00000000006,1152597.0,3315.907000000163,0.0,1155912.9070000001
20191108,154453.00000000003,1152025.0,3315.907000000163,0.0,1155340.9070000001
20191111,129751.00000000001,1127323.0,3315.907000000163,0.0,1130638.9070000001
20191112,131727.00000000003,1129299.0,3315.907000000163,0.0,1132614.9070000001
20191113,136456.0,1134028.0,3315.907000000163,0.0,1137343.9070000001
20191114,140002.00000000006,1137574.0,3315.907000000163,0.0,1140889.9070000001
20191115,129003.00000000003,1126575.0,3315.907000000163,0.0,1129890.9070000001
20191118,138028.0000000001,1135600.0,3315.907000000163,0.0,1138915.9070000001
20191119,150905.00000000006,1148477.0,3315.907000000163,0.0,1151792.9070000001
20191120,139395.00000000003,1136967.0,3315.907000000163,0.0,1140282.9070000001
20191121,133755.00000000003,1131327.0,3315.907000000163,0.0,1134642.9070000001
20191122,116786.00000000003,1114358.0,3315.907000000163,0.0,1117673.9070000001
20191125,122990.00000000006,1120562.0,3315.907000000163,0.0,1123877.9070000001
20191126,128363.0,1125935.0,3315.907000000163,0.0,1129250.9070000001
20191127,137190.00000000003,1134762.0,3315.907000000163,0.0,1138077.9070000001
20191128,136184.00000000003,1133756.0,3315.907000000163,0.0,1137071.9070000001
20191129,124837.00000000003,1122409.0,3315.907000000163,0.0,1125724.9070000001
20191202,127982.00000000006,1128523.0,345.4225000001625,2969.0,1128868.4225
20191203,127735.00000000006,1128585.0,345.4225000001625,0.0,1128930.4225
20191204,128940.00000000003,1129790.0,345.4225000001625,0.0,1130135.4225
20191205,148104.0,1148954.0,345.4225000001625,0.0,1149299.4225
20191206,161612.00000000006,1162462.0,345.4225000001625,0.0,1162807.4225
20191209,155396.0,1156246.0,345.4225000001625,0.0,1156591.4225
20191210,164427.0,1165277.0,345.4225000001625,0.0,1165622.4225
20191211,168489.00000000003,1169339.0,345.4225000001625,0.0,1169684.4225
20191212,160542.00000000003,1161392.0,345.4225000001625,0.0,1161737.4225
20191213,189483.00000000006,1190333.0,345.4225000001625,0.0,1190678.4225
